序号	汉字	累计频率	频率	拼音	英文	
670	般	78.30479629	0.031572017	ban1	sort/kind/class/way/manner	
671	段	78.3362949	0.031498616	duan4	(surname)/paragraph/section/segment	
672	福	78.36776184	0.031466938	fu2	good fortune	
673	银	78.39917469	0.031412853	yin2	silver	
674	晚	78.43054389	0.031369199	wan3	evening/night/late	
675	宣	78.46188412	0.031340225	xuan1	to declare (publicly)/to announce	
676	户	78.49301843	0.031134316	hu4	a household/door/family	
677	游	78.52409789	0.031079459	you2	"to walk/to tour/to roam/to swim/to travel, to roam/travel"	
678	香	78.55516113	0.031063233	xiang1	fragrant/incense/(of food) savory/appetizing/sweet/scented/popular	
679	采	78.58617336	0.031012239	cai3/cai4	"to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble"	
680	修	78.61716706	0.030993696	xiu1	to decorate/to embellish/to repair/to build/to study/to write/to cultivate	
681	娘	78.64810937	0.030942315	niang2	"mother/young lady, mother/troubled"	
682	木	78.67898293	0.03087355	mu4	tree/wood	
683	态	78.70981166	0.030828737	tai4	attitude	
684	够	78.74058477	0.030773107	gou4	to reach/to be enough	
685	划	78.77135594	0.030771175	hua2/hua4	"to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character"	
686	续	78.80207458	0.030718636	xu4	continue/replenish	
687	境	78.83277776	0.030703183	jing4	border/place/condition/boundary/circumstances/territory	
688	米	78.86344347	0.03066571	mi3	(measure word) meter/rice	
689	假	78.89381133	0.030367857	jia3/jia4	"fake/false/artificial/to borrow/if/suppose, vacation"	
690	微	78.92417532	0.030363994	wei1	micro/tiny/miniature	
691	试	78.95451614	0.030340815	shi4	to test/to try/experiment/examination/test	
692	伤	78.98483841	0.030322271	shang1	injure/injury/wound	
693	刚	79.01515759	0.030319181	gang1	hard/firm/strong/just/barely/exactly	
694	状	79.04541959	0.030262005	zhuang4	accusation/suit/state/condition/strong/great	
695	兰	79.07561824	0.030198649	lan2	orchid	
696	诉	79.10581071	0.030192468	su4	complain/sue/tell	
697	助	79.13587222	0.030061505	zhu4	to help/to assist	
698	征	79.16575215	0.029879935	zheng1	attack/levy (troops or taxes)/journey/trip/expedition	
699	胜	79.19543661	0.029684456	sheng1/sheng4	"(also sheng4) able to do/competent enough to, peptide, victorious"	
700	竟	79.22496267	0.029526065	jing4	unexpectedly/actually/to go so far as to/indeed	
701	项	79.25443427	0.029471594	xiang4	(surname)/back of neck/item/thing	
702	继	79.28385023	0.029415964	ji4	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit	
703	爷	79.3132237	0.029373469	ye2	grandpa/etc./old gentleman	
704	疑	79.34258249	0.029358789	yi2	to doubt/to misbelieve/to suspect	
705	印	79.3718841	0.029301613	yin4	stamp/seal/mark/print/India (abbrev.)	
706	速	79.4011606	0.029276502	su4	fast/rapid/quick	
707	齐	79.43040852	0.029247915	qi2	(surname)/even/to make even	
708	低	79.45961394	0.029205419	di1	to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low	
709	室	79.48874789	0.02913395	shi4	room	
710	退	79.51783664	0.029088751	tui4	retreat/to decline/to move back/to withdraw	
711	脸	79.54687478	0.029038143	lian3	face	
712	限	79.5758542	0.028979422	xian4	limit/bound	
713	热	79.60477606	0.02892186	re4	heat/to heat up/fervent/hot (of weather)/warm up	
714	田	79.63366509	0.028889023	tian2	(surname)/field/farm	
715	值	79.6624811	0.028816009	zhi2	value/(to be) worth/to happen	
716	怀	79.69126427	0.028783172	huai2	to think of/to cherish/mind/heart/bosom	
717	郎	79.72002542	0.028761151	lang2	(surname)/a youth	
718	纳	79.74876725	0.028741835	na4	to accept/to pay (tax etc.)	
719	氏	79.777455	0.02868775	shi4	clan name/maiden name	
720	景	79.80613773	0.028682728	jing3	bright/circumstance/scenery	
721	执	79.83481544	0.028677706	zhi2	execute (a plan)/grasp	
722	型	79.8634379	0.028622462	xing2	model	
723	欢	79.89198851	0.028550607	huan1	joyous/happy/pleased	
724	毛	79.92047537	0.028486864	mao2	hair/pore/fur	
725	免	79.94893751	0.028462139	mian3	to exempt/to remove/to avoid/to excuse	
726	略	79.97737763	0.028440119	lue4	plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize	
727	批	80.00571808	0.028340449	pi1	"to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on"	
728	犯	80.03403187	0.028313793	fan4	to violate/to offend	
729	否	80.06232171	0.028289841	fou3/pi3	"to negate/to deny/not, clogged/evil"	
730	灵	80.09060576	0.028284046	ling2	alert/departed soul/efficacious/quick/effective/intelligence	
731	药	80.11881409	0.028208327	yao4	medicine/drug/cure	
732	射	80.14699923	0.028185148	she4	radio- (chem.)/shoot	
733	监	80.17517125	0.028172013	jian1/jian4	"hard/strong/solid/firm/to supervise/to inspect/jail/prison, supervisor"	
734	织	80.20318139	0.028010145	zhi1	weave	
735	陆	80.23116604	0.027984648	liu4/lu4	"six (fraud-proof), (surname)/shore/land/continent"	
736	句	80.25910974	0.027943698	ju4	"(a measure word, for sentences or lines of verse)/sentence"	
737	孙	80.2869414	0.027831665	sun1	grandson	
738	兄	80.31463322	0.027691817	xiong1	elder brother	
739	罢	80.3422497	0.027616485	ba4/ba	"to stop/cease/dismiss/suspend/to quit/to finish, (final part.)"	
740	劳	80.36981172	0.027562013	lao2	toil	
741	获	80.39725436	0.027442641	huo4	"to catch/to obtain/to capture, reap/harvest"	
742	旧	80.42464716	0.027392805	jiu4	old (opposite of new)/former	
743	网	80.45200365	0.027356491	wang3	"net/network, a net"	
744	预	80.47923807	0.027234414	yu4	to advance/in advance/beforehand/to prepare	
745	忙	80.50646823	0.027230164	mang2	busy	
746	贵	80.53363427	0.027166035	gui4	expensive/noble/your (name)/precious	
747	错	80.56079683	0.027162558	cuo4	mistake/error/blunder/fault/cross/uneven/wrong	
748	树	80.58790723	0.027110405	shu4	tree	
749	追	80.61497321	0.027065978	zhui1	pursue (a problem)/to chase	
750	临	80.64202837	0.027055161	lin2	to face/to overlook/to arrive/to be (just) about to/just before	
751	伯	80.66904258	0.027014211	bo2	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address	
752	育	80.69602782	0.026985237	yu4	nourish/to rear	
753	普	80.72298679	0.026958968	pu3	general/popular/everywhere/universal	
754	诗	80.74992683	0.026940038	shi1	poem/poetry/verse	
755	副	80.77680969	0.026882862	fu4	secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair)	
756	充	80.80368985	0.026880158	chong1	fill/satisfy/fulfill/to act in place of/substitute/sufficient/full	
757	永	80.83053292	0.026843071	yong3	forever/always/perpetual (ly)	
758	财	80.85734508	0.026812166	cai2	money/wealth/riches/property/valuables	
759	适	80.88405565	0.026710564	shi4	to fit/to suit	
760	圣	80.91072217	0.026666523	sheng4	holy/sacred/saint/sage	
761	血	80.93736513	0.026642958	xie3/xue4	"blood, blood"	
762	弹	80.96392928	0.026564148	dan4/tan2	"crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)"	
763	拜	80.9904884	0.026559126	bai4	to pay respect/worship/visit/salute	
764	雷	81.01703903	0.026550627	lei2	(surname)/thunder	
765	妇	81.04353982	0.026500792	fu4	woman	
766	哪	81.07001434	0.026474522	na3/na/nei3	"how/which, (final part. preceded by N), which (followed by M or Num)"	
767	源	81.09641662	0.02640228	yuan2	root/source/origin	
768	遂	81.12275284	0.02633622	sui4/sui2	forthwith	
769	创	81.14887079	0.026117949	chuang1/chuang4	"a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create"	
770	胡	81.17496595	0.026095156	hu2	"(surname)/beard/what why how, beard/mustache"	
771	习	81.20105338	0.026087429	xi2	to practice/to study/habit	
772	负	81.22707745	0.026024073	fu4	lose/negative (math. etc.)/to bear/to carry (on one's back)	
773	策	81.25304898	0.025971533	ce4	method/plan/policy/scheme	
774	败	81.27900815	0.025959171	bai4	be defeated/to defeat/loss	
775	宋	81.30493681	0.025928652	song4	(surname)/name of a dynasty	
776	御	81.33084189	0.025905086	yu4	"defend/imperial/to drive, defend/resist"	
777	讨	81.35674273	0.025900837	tao3	ask for/send punitive expedition/to demand/to marry	
778	富	81.38264125	0.025898519	fu4	rich	
779	尼	81.40845671	0.02581546	ni2	Buddhist nun/(often used in phonetic spellings)	
780	范	81.43421538	0.025758671	fan4	pattern/model/example/(surname)	
781	球	81.45990374	0.025688361	qiu2	ball/sphere	
782	秋	81.48559133	0.025687588	qiu1	"autumn/fall/harvest time/a swing, a swing"	
783	冲	81.51126385	0.025672521	chong1/chong4	"to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards"	
784	恩	81.53688538	0.025621527	en1	kind act (from above)	
785	哥	81.56249725	0.025611869	ge1	elder brother	
786	寻	81.58810139	0.025604143	xun2	to search/to look for/to seek	
787	恶	81.61368969	0.025588304	e3/e4/wu4	"nauseated, evil, to hate/to loathe"	
788	停	81.63927645	0.025586758	ting2	to stop/to halt	
789	良	81.66485587	0.025579418	liang2	good/very/very much	
790	股	81.69037888	0.025523015	gu3	"share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff"	
791	险	81.71589919	0.025520311	xian3	danger (ous)/rugged	
792	波	81.74139555	0.025496359	bo1	wave/ripple/storm/surge	
793	刺	81.76685444	0.025458886	ci4	thorn/sting/prick/pierce/stab/thrust/assassinate/murder	
794	述	81.79226774	0.025413301	shu4	to state/to tell/to narrate/to relate	
795	谢	81.81765516	0.025387417	xie4	(surname)/to thank	
796	环	81.84303214	0.025376986	huan2	bracelet/ring (not for finger)/to surround/to loop/loop	
797	莫	81.86839909	0.025366942	mo4	do not/there is none who	
798	脑	81.89375985	0.025360761	nao3	brain	
799	草	81.91893943	0.025179577	cao3	grass/straw/draft (of a document)/careless/rough/manuscript/hasty	
800	忽	81.94411668	0.025177259	hu1	suddenly	
801	侍	81.96926999	0.025153307	shi4	attend on	
802	静	81.99438351	0.025113516	jing4	still/calm/quiet/not moving	
803	散	82.0194893	0.02510579	san3/san4	"leisurely/loosen/powdered medicine/to scatter/to come loose, adjourn/scatter"	
804	判	82.04456804	0.025078747	pan4	to judge/to sentence/to discriminate/to discern	
805	养	82.06961434	0.025046296	yang3	"give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)"	
806	积	82.09464248	0.025028139	ji1	to amass/to accumulate/to store/old/long-standing	
807	遣	82.11960842	0.024965942	qian3	dispatch	
808	怪	82.14449053	0.02488211	guai4	queer/to blame	
809	耳	82.16936144	0.024870907	er3	ear	
810	镇	82.19418522	0.024823776	zhen4	composed/small town/to suppress/to press down/to post	
811	登	82.21900822	0.024823003	deng1	scale/climb/ascend/mount/go up/register/note/to publish/to issue/to record	
812	遇	82.24376323	0.024755011	yu4	meet with	
813	恐	82.26850626	0.024743035	kong3	afraid/frightened/to fear	
814	唐	82.29315272	0.024646455	tang2	Tang dynasty (618-907)	
815	堂	82.31778797	0.024635252	tang2	(main) hall/large room	
816	诏	82.34241395	0.02462598	zhao4	imperial order	
817	著	82.36697348	0.024559533	zhu4/zhe		
818	幸	82.39150404	0.024530559	xing4	"lucky, fortunate/lucky"	
819	排	82.41599752	0.024493472	pai2/pai3	"a platoon/line up, row of logs or boards"	
820	简	82.4404427	0.024445182	jian3	simple	
821	宁	82.4648759	0.024433206	ning2	peaceful/rather	
822	升	82.48930177	0.024425866	sheng1	"to raise/to hoist/to promote/pint, ascend/peaceful, promoted"	
823	检	82.51359204	0.024290268	jian3	to check/to examine/to inspect	
824	铁	82.53767447	0.024082428	tie3	iron	
825	角	82.56174724	0.02407277	jiao3/jue2	"angle/horn/horn-shaped, Chinese musical note/angle/horn"	
826	顾	82.58581189	0.024064657	gu4	look after/take into consideration/to attend to	
827	村	82.60984989	0.024038001	cun1	village	
828	读	82.63380329	0.023953397	dou4/du2	"comma/phrase marked by pause, to read/to study"	
829	挥	82.65767904	0.023875746	hui1	scatter/wield/wipe away	
830	矣	82.68149722	0.023818185	yi3	final part.	
831	冷	82.70527368	0.023776462	leng3	cold	
832	模	82.72901731	0.023743625	mo2	imitate/model/norm/pattern	
833	佛	82.75265933	0.023642022	fo2/fu2	"Buddha/Buddhism, seemingly"	
834	杨	82.77628474	0.023625411	yang2	(surname)/poplar	
835	梦	82.79984023	0.023555487	meng4	to dream	
836	救	82.82338644	0.023546215	jiu4	to save/to assist/to rescue	
837	阵	82.84689712	0.023510674	zhen4	disposition of troops/short period/wave/spate/burst/spell	
838	哈	82.87039581	0.023498698	ha1/ha3	"laughter/yawn, a Pekinese/a pug"	
839	暗	82.89387867	0.023482859	an4	"dark/gloomy/hidden/secret, to shut the door/unilluminated"	
840	买	82.91735458	0.023475905	mai3	buy	
841	督	82.94075476	0.023400186	du1	supervise	
842	楚	82.96414143	0.023386665	chu3	(surname)/ancient place name/distinct/clear/orderly/pain/suffering/(a surname)	
843	配	82.98726926	0.02312783	pei4	to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)	
844	痛	83.01030978	0.023040522	tong4	ache/pain/sorrow	
845	授	83.03330665	0.022996868	shou4	to teach/to instruct/to award/to give	
846	肯	83.056239	0.022932352	ken3	to agree/to consent/to be ready (to do sth)/willing	
847	雨	83.07912268	0.022883676	yu3	rain	
848	占	83.1019994	0.022876722	zhan1/zhan4	"to observe/to divine, to divine, to occupy/to constitute/to make up/to account"	
849	楼	83.12486878	0.022869382	lou2	house with more than 1 story/storied building/floor	
850	呼	83.14771074	0.022841954	hu1	to call/to cry/to shout/to breath out/to exhale	
851	顺	83.17054187	0.022831137	shun4	to obey/to follow/to arrange/to make reasonable/along/favorable	
852	阴	83.19331158	0.022769711	yin1	(of weather) overcast/Yin/feminine/moon/cloudy/negative (electric.)/shady	
853	吾	83.21606623	0.022754645	wu2	I/my	
854	奏	83.23881971	0.022753486	zou4	present a memorial	
855	固	83.26156238	0.022742669	gu4	hard/strong/solid/sure	
856	皮	83.28430003	0.022737647	pi2	leather/skin/fur	
857	警	83.30701141	0.022711377	jing3	to alert/to warn	
858	甲	83.3297027	0.022691289	jia3	"""A"" (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/1st heavenly stem/1st in order/armor"	
859	担	83.3523511	0.022648407	dan1/dan4	"to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility"	
860	妈	83.37491993	0.022568825	ma1	ma/mamma	
861	坚	83.39747832	0.022558394	jian1	strong/solid/firm/unyielding/resolute	
862	阶	83.42002358	0.02254526	jie1	rank or step/stairs	
863	忠	83.44254566	0.02252208	zhong1	loyal	
864	背	83.4650295	0.022483835	bei1/bei4	"carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body"	
865	姓	83.48746157	0.022432068	xing4	surname/family name/name	
866	索	83.50983221	0.022370643	suo3	to search/to demand/to ask/to exact/large rope/isolated	
867	穿	83.53217774	0.022345532	chuan1	to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread	
868	吴	83.55443905	0.022261314	wu2	(surname)/province of Jiangsu	
869	凡	83.57668414	0.022245089	fan2	ordinary/every/all/whatever/worldly	
870	吉	83.59892344	0.022239294	ji2	lucky	
871	激	83.62113453	0.022211093	ji1	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent	
872	审	83.64324866	0.022114126	shen3	to examine/to investigate/carefully/to try (in court)	
873	剑	83.66529209	0.02204343	jian4	(double-edged) sword	
874	层	83.68732393	0.02203184	ceng2	a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf	
875	洲	83.70933027	0.022006343	zhou1	continent/island	
876	脚	83.73133004	0.021999776	jiao3/jue2	"a kick/foot/role, role"	
877	乡	83.75325642	0.021926375	xiang1	country/village	
878	沙	83.77517738	0.021920966	sha1	granule/hoarse/raspy/sand/powder	
879	托	83.79708406	0.021906672	tuo1	"to hold in one's hand/to entrust/to support in one's palm, entrust"	
880	奉	83.81893317	0.021849111	feng4	to receive (from superior)/to offer/to revere	
881	沉	83.84071622	0.02178305	chen2	submerge/immerse/sink/deep/profound/to lower/to drop	
882	亡	83.86248188	0.021765665	wang2	to die/to perish	
883	康	83.88423171	0.021749826	kang1	peaceful/spongy (of radishes)	
884	宜	83.90593325	0.021701536	yi2	proper/should/suitable/appropriate	
885	超	83.92753472	0.021601479	chao1	to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross	
886	谋	83.94911225	0.021577527	mou2	to plan/seek/scheme	
887	演	83.97054955	0.021437293	yan3	to develop/to evolve/to practice/to perform/to play/to act	
888	协	83.99197177	0.021422227	xie2	cooperate/harmonize/to help/to assist/to join	
889	湖	84.01333451	0.021362733	hu2	lake	
890	姑	84.03465861	0.021324101	gu1	paternal aunt	
891	赵	84.05582702	0.021168414	zhao4	(surname)	
892	付	84.07699157	0.021164551	fu4	pay	
893	班	84.09804795	0.021056382	ban1	team/class/rank/squad/a work shift/a measure word/(a surname)	
894	招	84.11904484	0.020996888	zhao1	provoke/to recruit	
895	夏	84.13997876	0.020933918	xia4	summer/Xia (proper name)	
896	掌	84.16089259	0.020913829	zhang3	in charge of/palm of hand	
897	减	84.1817929	0.020900308	jian3	to lower/to decrease/to reduce/to subtract/to diminish	
898	伊	84.20268857	0.020895672	yi1	he/she/(surname)/Iraq (abbrev.)	
899	妻	84.2235742	0.020885628	qi1/qi4	"wife, to marry off (a daughter)"	
900	鲁	84.24445635	0.020882151	lu3	crass/place name	
901	野	84.26533271	0.020876356	ye3	field/plain/open space/limit/boundary/rude/wild	
902	释	84.28615343	0.020820726	shi4	explain/to release	
903	亮	84.30695948	0.020806046	liang4	light/bright	
904	顿	84.32774621	0.02078673	dun4	a time/jerk/stop/meal/bout/spell/(measure for beating)	
905	录	84.34850242	0.020756211	lu4	to record/to hit/to copy	
906	丁	84.36925245	0.02075003	ding1	(surname)/4th heavenly stem/a Chinese surname	
907	移	84.38991015	0.020657699	yi2	to move/to shift/to change/to alter/to remove	
908	危	84.41048286	0.020572709	wei1	danger/to endanger	
909	税	84.43101655	0.02053369	shui4	taxes/duties	
910	座	84.45149499	0.020478447	zuo4	"seat/base/stand/measure word for large, solid things"	
911	优	84.47193326	0.020438269	you1	excellent/superior	
912	烈	84.49236342	0.020430156	lie4	ardent/intense/split/crack/rend	
913	卡	84.51275456	0.020391138	ka3/qia3	"to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost"	
914	丽	84.53314415	0.020389593	li2/li4	"Korea, beautiful"	
915	遗	84.55351366	0.020369504	yi2	to lose/to leave behind	
916	画	84.57386037	0.020346711	hua4	draw/picture/painting	
917	屋	84.5942036	0.020343235	wu1	house/room	
918	您	84.6145422	0.020338599	nin2	you (formal)	
919	鱼	84.63487771	0.020335508	yu2	fish	
920	慢	84.65518965	0.020311943	man4	slow	
921	露	84.67549928	0.020309625	lu4/lou4	to show/to reveal/to expos/dew	
922	啊	84.69573704	0.020237769	a1/a2/a3/a4/a	"(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)"	
923	端	84.71596516	0.020228111	duan1	end/extremity/item/port/to hold sth. level with both hands/to carry/regular	
924	徒	84.73608973	0.020124577	tu2	apprentice/disciple	
925	坏	84.75620852	0.020118782	huai4	"bad/spoiled, bad"	
926	杂	84.7762991	0.020090581	za2	mixed/miscellaneous/various/to mix	
927	渐	84.79634718	0.020048086	jian1/jian4	"imbue, gradual/gradually"	
928	藏	84.81636668	0.020019498	cang2/zang4	"to hide away/to conceal/to harbor/store/accumulate, storehouse/depository/Buddhist or Taoist scripture/Zang/Tibet"	
929	压	84.83635566	0.019988979	ya1/ya4	"to press/to push down/to keep under (control), in the first place/to crush"	
930	贼	84.85632996	0.019974299	zei2	thief	
931	温	84.87624824	0.019918282	wen1	(luke)warm/to review	
932	卿	84.8961248	0.01987656	qing1	(old) minister/(old) term of endearment between spouses/thou (poet.)	
933	帮	84.9159693	0.019844495	bang1	to assist/to support/to help/group/gang/party	
934	松	84.93580066	0.01983136	song1	"loose/pine, loose"	
935	换	84.95561077	0.019810113	huan4	change/exchange	
936	侯	84.97541972	0.019808954	hou2	marquis	
937	抗	84.99521631	0.019796591	kang4	to resist/to fight/to defy	
938	午	85.01497659	0.019760277	wu3	11 a.m.-1 p.m./7th earthly branch/noon	
939	郡	85.0346936	0.019717009	4-Jun	canton/county/region	
940	洋	85.05440559	0.019711987	yang2	foreign/ocean	
941	席	85.07406349	0.019657903	xi2	"banquet/woven mat/seat/place, woven mat"	
942	艺	85.09371637	0.01965288	yi4	skill/art	
943	禁	85.11334337	0.019626997	jin1/jin4	"endure, to prohibit/to forbid"	
944	赶	85.13293096	0.019587592	gan3	to catch up/to overtake/to hurry/to rush/to drive away	
945	牛	85.15250233	0.019571367	niu2	ox/cow/bull	
946	申	85.17204395	0.01954162	shen1	(surname)/3-5 p.m./9th earthly branch/extend/to state/to explain	
947	仙	85.19157745	0.019533508	xian1	immortal	
948	误	85.21109242	0.019514964	wu4	mistake/error/to miss/to harm/to delay/to neglect	
949	钟	85.23057184	0.019479423	zhong1	clock/time as measured in hours and minutes/bell	
950	块	85.2499682	0.019396364	kuai1/kuai4	"piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)"	
951	饭	85.26926258	0.019294375	fan4	food/cuisine/cooked rice/meal	
952	迎	85.28852721	0.019264629	ying2	to welcome	
953	货	85.30763345	0.019106237	huo4	goods/money/commodity	
954	补	85.32669912	0.019065674	bu3	to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement	
955	博	85.34575204	0.019052925	bo2	extensive/ample/rich/obtain/aim/to win/to get/rich/plentiful/to gamble	
956	智	85.36477406	0.019022019	zhi4	wisdom/knowledge	
957	仁	85.38378913	0.019015066	ren2	humane	
958	款	85.40280188	0.019012748	kuan3	section/paragraph/funds	
959	毕	85.42181385	0.019011975	bi4	the whole of/to finish/to complete/complete/full/finished	
960	延	85.44073659	0.018922735	yan2	to prolong/to extend/to delay	
961	隐	85.45961953	0.018882944	yin3	secret/hidden/concealed	
962	私	85.47848973	0.018870196	si1	personal/private/selfish	
963	谷	85.49735297	0.018863242	gu3/yu4	"grain/corn, valley, (surname)"	
964	附	85.51617758	0.01882461	fu4	to add/to attach/to be close to/to be attached	
965	骑	85.53497167	0.018794091	qi2	to ride (an animal or bike)/to sit astride	
966	郑	85.55364755	0.018675877	zheng4	(surname)	
967	殿	85.5723211	0.018673559	dian4	palace hall	
968	叶	85.59099196	0.018670854	ye4	(surname)/leaf/page	
969	虎	85.60963461	0.018642653	hu3	tiger	
970	载	85.62825177	0.018617156	zai3/zai4	"year, to carry/to convey/to load/to hold/and/also/as well as/simultaneously"	
971	航	85.6468017	0.018549936	hang2	boat/ship/vessel/craft/to navigate/to sail	
972	控	85.66534855	0.018546846	kong4	to accuse/to charge/to control/to sue	
973	刑	85.68383977	0.018491216	xing2	punishment	
974	荣	85.70232287	0.018483103	rong2	glory/honored	
975	央	85.72079245	0.018469582	yang1	beg/center	
976	概	85.73924156	0.018449107	gai4	general/approximate	
977	庄	85.75767714	0.018435585	zhuang1	farm/village	
978	岛	85.77610384	0.0184267	dao3	island	
979	脱	85.79449732	0.018393477	tuo1	to shed/to take off/to escape/to get away from	
980	介	85.81286298	0.018365661	jie4	introduce/lie between/between	
981	盖	85.83121319	0.018350209	gai4/ge3	"lid/top/cover/canopy/to build, (surname)"	
982	序	85.84952979	0.018316599	xu4	order/sequence/preface	
983	秦	85.86782012	0.018290329	qin2	(surname)/name of a dynasty	
984	庭	85.88610272	0.018282603	ting2	court/courtyard	
985	词	85.90429995	0.018197226	ci2	works/phrases/classical Chinese poem/word/diction	
986	睡	85.92243652	0.018136574	shui4	to sleep	
987	召	85.94051437	0.018077853	shao4/zhao4	"(surname)/name of an ancient state, to call together/to summon/to convene"	
988	怒	85.95854741	0.01803304	nu4	indignant	
989	枪	85.97657891	0.018031495	qiang1	"gun/firearm/rifle/spear, rifle/spear"	
990	跑	85.99460074	0.018021837	pao3	to run/to escape	
991	虑	86.01261756	0.018016814	lu:4/lv4	anxiety	
992	靠	86.03062974	0.018012179	kao4	depend upon/lean on/near/by/against/to support	
993	味	86.04863612	0.018006384	wei4	taste	
994	献	86.06662821	0.01799209	xian4	to offer	
995	曲	86.08461528	0.017987068	qu1/qu3	"bent/crooked/wrong, tune/song"	
996	笔	86.10259423	0.017978955	bi3	pen/pencil/writing brush/to write or compose/the strokes of Chinese characters	
997	雪	86.12052065	0.017926415	xue3	snow	
998	份	86.1383698	0.017849151	fen4	"(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)"	
999	仪	86.15619577	0.017825972	yi2	apparatus/rites/appearance/present/ceremony	
1000	困	86.17401711	0.017821336	kun3/kun4	"a bunch/tie together, distress/sleepy/doze off, sleepy/doze off"	
